gene,expression,patient,sample,oncoGene
G89,5.917849063447786,unknown,S70,FALSE
G42,8.605884855802602,unknown,S70,FALSE
G49,10.704073247417753,unknown,S70,FALSE
G34,8.524561569106861,unknown,S70,FALSE
G50,7.1063464713912445,unknown,S70,FALSE
G8,8.950074885933647,unknown,S70,FALSE
G79,9.11261425248283,unknown,S70,TRUE
G112,6.324896919821235,unknown,S70,TRUE
G109,9.230681736988446,unknown,S70,TRUE
G92,8.724449488897083,unknown,S70,FALSE
G58,8.886435669793567,unknown,S70,FALSE
G7,11.292437354187886,unknown,S70,TRUE
G101,7.78197982977523,unknown,S70,FALSE
G77,7.037629713894997,unknown,S70,FALSE
G31,7.295694613081884,unknown,S70,FALSE
G9,8.826143217831172,unknown,S70,FALSE
G64,7.7248670609756696,unknown,S70,FALSE
G35,6.7171440838391705,unknown,S70,FALSE
G98,8.052825077677033,unknown,S70,FALSE
G113,8.500803936094021,unknown,S70,FALSE
G22,9.675229311001994,unknown,S70,FALSE
G25,7.854844226117859,unknown,S70,FALSE
G2,9.625113898796423,unknown,S70,FALSE
G32,6.654041767945628,unknown,S70,FALSE
G81,8.912677594876598,unknown,S70,FALSE
G15,8.721333459673142,unknown,S70,FALSE
G51,8.282327726608013,unknown,S70,FALSE
G44,8.095185765239576,unknown,S70,FALSE
G20,7.16075883179966,unknown,S70,FALSE
G95,10.759136072656805,unknown,S70,FALSE
G111,9.612421088802526,unknown,S70,TRUE
G62,8.464409785597066,unknown,S70,FALSE
G70,6.614373822211972,unknown,S70,FALSE
G24,9.179737629153909,unknown,S70,FALSE
G96,8.562177690547912,unknown,S70,FALSE
G56,8.30089153286337,unknown,S70,FALSE
G115,8.282317674680913,unknown,S70,FALSE
G36,7.115295787649395,unknown,S70,FALSE
G47,8.392061227647467,unknown,S70,FALSE
G17,6.330826537080963,unknown,S70,FALSE
G19,10.699464686975148,unknown,S70,TRUE
G57,7.070726469863976,unknown,S70,FALSE
G60,6.444104284513138,unknown,S70,FALSE
G26,8.976655912767862,unknown,S70,FALSE
G27,8.619579073996139,unknown,S70,FALSE
G91,7.96264153865236,unknown,S70,FALSE
G3,8.397188505792625,unknown,S70,FALSE
G75,8.749727111866683,unknown,S70,FALSE
G45,7.129204353186091,unknown,S70,FALSE
G104,7.000904649615312,unknown,S70,FALSE
G10,6.775368565604617,unknown,S70,FALSE
G83,7.2452996226109585,unknown,S70,FALSE
G74,7.431361847947331,unknown,S70,FALSE
G53,8.297555828004416,unknown,S70,FALSE
G100,7.154256418935752,unknown,S70,FALSE
G54,9.328957158955207,unknown,S70,FALSE
G99,6.601211689946488,unknown,S70,FALSE
G55,8.342674236102726,unknown,S70,FALSE
G59,10.151484446056072,unknown,S70,FALSE
G86,7.288574870035958,unknown,S70,FALSE
G1,6.4828242247032675,unknown,S70,FALSE
G52,8.476879627840763,unknown,S70,FALSE
G12,8.2150378769582435,unknown,S70,FALSE
G105,8.057291414389837,unknown,S70,FALSE
G73,7.423686560947561,unknown,S70,FALSE
G29,8.352667090102129,unknown,S70,FALSE
G76,8.127922767428423,unknown,S70,FALSE
G85,7.446824427257366,unknown,S70,FALSE
G21,8.831735642203796,unknown,S70,FALSE
G23,8.947354368482973,unknown,S70,TRUE
G13,7.650752681263688,unknown,S70,FALSE
G4,8.690828847749932,unknown,S70,FALSE
G90,10.299317658937976,unknown,S70,TRUE
G82,8.1454819592003,unknown,S70,FALSE
G30,8.498746416011523,healthy,S34,TRUE
G40,8.422543138934087,healthy,S34,FALSE
G71,6.99804785340067,healthy,S34,TRUE
G28,8.42641337679268,healthy,S34,FALSE
G108,7.797752531014483,healthy,S34,FALSE
G97,8.981321693020307,healthy,S34,FALSE
G5,7.824010047722142,healthy,S34,FALSE
G66,7.69522413184051,healthy,S34,FALSE
G88,7.879253125152194,healthy,S34,FALSE
G6,6.5364358824197355,healthy,S34,FALSE
G107,9.214021963168504,healthy,S34,FALSE
G61,6.302849220041878,healthy,S34,FALSE
G80,8.146215932495474,healthy,S34,FALSE
G14,9.269362666422362,healthy,S34,FALSE
G63,7.534106038947918,healthy,S34,FALSE
G43,7.893518608346681,healthy,S34,TRUE
G41,7.457486960815761,healthy,S34,FALSE
G72,9.121730875292869,healthy,S34,FALSE
G39,6.97028960017281,healthy,S34,FALSE
G37,9.024539151157436,healthy,S34,FALSE
G93,8.631125286637252,healthy,S34,FALSE
G33,9.048493849307128,healthy,S34,FALSE
G18,7.659413996637363,healthy,S34,FALSE
G114,9.435869801132672,healthy,S34,FALSE
G103,8.662847676801936,healthy,S34,FALSE
G48,7.220628171661173,healthy,S34,FALSE
G110,6.246087619148806,healthy,S34,TRUE
G38,6.1011584407676605,healthy,S34,FALSE
G68,8.276706413730537,healthy,S34,TRUE
G11,6.895513202779155,healthy,S34,FALSE
G84,8.124243171298682,healthy,S34,FALSE
G106,7.6171511986504115,healthy,S34,FALSE
G78,6.68805303425439,healthy,S34,FALSE
G16,7.673028696780297,healthy,S34,TRUE
G102,8.835952330502753,healthy,S34,FALSE
G65,8.382363377297064,healthy,S34,FALSE
G46,8.31897792627888,healthy,S34,FALSE
G94,6.975318575799561,healthy,S34,FALSE
G69,9.0426294483055,healthy,S34,FALSE
G116,6.919005607909336,healthy,S34,FALSE
G67,6.868039808816601,healthy,S34,FALSE
G87,7.047157247563812,healthy,S34,FALSE
G89,7.096632781270767,healthy,S34,FALSE
G42,6.92796706441435,healthy,S34,FALSE
G49,7.488801560944093,healthy,S34,FALSE
G34,6.964264303603057,healthy,S34,FALSE
G50,7.915566478177504,healthy,S34,FALSE
G8,9.653860377180644,healthy,S34,FALSE
G79,7.490234074354871,healthy,S34,TRUE
G112,7.011481135936979,healthy,S34,TRUE
G109,8.671770141651598,healthy,S34,TRUE
G92,6.989005590739392,healthy,S34,FALSE
G58,7.971654583675342,healthy,S34,FALSE
G7,6.790488769226066,healthy,S34,TRUE
G101,8.002311999154452,healthy,S34,FALSE
G77,7.36103540598279,healthy,S34,FALSE
G31,8.262881916093065,healthy,S34,FALSE
G9,7.6367764270975425,healthy,S34,FALSE
G64,8.972422144554066,healthy,S34,FALSE
G35,7.55443695571139,healthy,S34,FALSE
G98,5.55159094244318,healthy,S34,FALSE
G113,6.936893681117285,healthy,S34,FALSE
G22,7.18015891935092,healthy,S34,FALSE
G25,7.654377556159154,healthy,S34,FALSE
G2,7.849055790854025,healthy,S34,FALSE
G32,7.084491828649305,healthy,S34,FALSE
G81,9.83779901335085,healthy,S34,FALSE
G15,10.190192449473967,healthy,S34,FALSE
G51,7.725155571617534,healthy,S34,FALSE
G44,8.172525990030483,healthy,S34,FALSE
G20,9.13139594919533,healthy,S34,FALSE
G95,6.953856471057755,healthy,S34,FALSE
G111,8.761640628103645,healthy,S34,TRUE
G62,9.036346138468112,healthy,S34,FALSE
G70,8.840771073964937,healthy,S34,FALSE
G24,7.290621382345065,healthy,S34,FALSE
G96,9.32631553290678,healthy,S34,FALSE
G56,7.902493509384172,healthy,S34,FALSE
G115,7.249210724027993,healthy,S34,FALSE
G36,8.332135949105986,healthy,S34,FALSE
G47,6.6033924081769255,healthy,S34,FALSE
G17,7.859518800767922,healthy,S34,FALSE
G19,10.430847589964312,healthy,S34,TRUE
G57,7.624794062065753,healthy,S34,FALSE
G60,7.93661353847287,healthy,S34,FALSE
G26,8.746493542826224,healthy,S34,FALSE
G27,6.531007869533667,healthy,S34,FALSE
G91,8.044990078176179,healthy,S34,FALSE
G3,9.39395745544367,healthy,S34,FALSE
G75,9.750045152800228,healthy,S34,FALSE
G45,8.66736842751966,healthy,S34,FALSE
G104,7.718538223111073,healthy,S34,FALSE
G10,8.100744289246942,healthy,S34,FALSE
G83,6.865528953926023,healthy,S34,FALSE
G74,7.456237852101315,healthy,S34,FALSE
G53,8.789051967396732,healthy,S34,FALSE
G100,8.569381000789345,healthy,S34,FALSE
G54,6.762244891244205,healthy,S34,FALSE
G99,9.4395633567119,healthy,S34,FALSE
G55,7.741248646582248,healthy,S34,FALSE
G59,8.397929774998406,healthy,S34,FALSE
G86,10.294382331583659,healthy,S34,FALSE
G1,7.927255863019297,healthy,S34,FALSE
G52,7.682296004122228,healthy,S34,FALSE
G12,6.501416443871136,healthy,S34,FALSE
G105,6.827711054058119,healthy,S34,FALSE
G73,7.226361174792587,healthy,S34,FALSE
G29,8.098654867875805,healthy,S34,FALSE
G76,7.348306050596281,healthy,S34,FALSE
G85,8.585747433598232,healthy,S34,FALSE
G21,7.833627619018473,healthy,S34,FALSE
G23,7.729547582292509,healthy,S34,TRUE
G13,9.01350018597615,healthy,S34,FALSE
G4,8.415551029786592,healthy,S34,FALSE
G90,7.98368057385805,healthy,S34,TRUE
G82,8.779070516757391,healthy,S34,FALSE
G30,8.110019822736945,healthy,S87,TRUE
G40,7.4352921346931184,healthy,S87,FALSE
G71,8.188992807579753,healthy,S87,TRUE
G28,7.421730897924291,healthy,S87,FALSE
G108,8.05252042019171,healthy,S87,FALSE
G97,7.931428898412875,healthy,S87,FALSE
G5,9.79611961966069,healthy,S87,FALSE
G66,8.996834873391942,healthy,S87,FALSE
G88,6.871063931347947,healthy,S87,FALSE
G6,7.563593927786872,healthy,S87,FALSE
G107,6.476582309472936,healthy,S87,FALSE
G61,6.394653070449518,healthy,S87,FALSE
G80,7.5730860618090095,healthy,S87,FALSE
G14,9.043300628774059,healthy,S87,FALSE
G63,9.979647513130491,healthy,S87,FALSE
G43,8.18817059179195,healthy,S87,TRUE
G41,7.345587342176235,healthy,S87,FALSE
G72,7.839863574702674,healthy,S87,FALSE
G39,8.75678819059144,healthy,S87,FALSE
G37,8.458789589576016,healthy,S87,FALSE
G93,7.928214086300639,healthy,S87,FALSE
G33,6.458354122900925,healthy,S87,FALSE
G18,9.509182636017544,healthy,S87,FALSE
G114,9.969987278935715,healthy,S87,FALSE
G103,7.850565052001033,healthy,S87,FALSE
G48,7.945460950129609,healthy,S87,FALSE
G110,8.146717575652945,healthy,S87,TRUE
G38,7.833922024673542,healthy,S87,FALSE
G68,6.603610884562384,healthy,S87,TRUE
G11,9.737316005976645,healthy,S87,FALSE
G84,8.77681942080826,healthy,S87,FALSE
G106,6.99170825753339,healthy,S87,FALSE
G78,6.409891068125855,healthy,S87,FALSE
G16,6.609871527900858,healthy,S87,TRUE
G102,6.6771463985611,healthy,S87,FALSE
G65,9.419009895269424,healthy,S87,FALSE
G46,6.93468753633836,healthy,S87,FALSE
G94,7.453004813021873,healthy,S87,FALSE
G69,6.372928977931649,healthy,S87,FALSE
G116,7.406553094865773,healthy,S87,FALSE
G67,5.94369914351279,healthy,S87,FALSE
G87,8.689700718510329,healthy,S87,FALSE
G89,7.912555623278739,healthy,S87,FALSE
G42,6.087009325556984,healthy,S87,FALSE
G49,7.1595964687146765,healthy,S87,FALSE
G34,7.0379123708544915,healthy,S87,FALSE
G50,7.505568242138805,healthy,S87,FALSE
G8,9.095558819760015,healthy,S87,FALSE
G79,6.376555122733669,healthy,S87,TRUE
G112,7.5417993904487455,healthy,S87,TRUE
G109,8.587047863616915,healthy,S87,TRUE
G92,8.525705091534615,healthy,S87,FALSE
G58,7.972702926461185,healthy,S87,FALSE
G7,8.3956066048096325,healthy,S87,TRUE
G101,7.25790790078905,healthy,S87,FALSE
G77,7.704851304769087,healthy,S87,FALSE
G31,5.744719108906342,healthy,S87,FALSE
G9,8.796849440000988,healthy,S87,FALSE
G64,7.356737934575726,healthy,S87,FALSE
G35,8.481050991088972,healthy,S87,FALSE
G98,8.011129686107862,healthy,S87,FALSE
G113,8.185292309388227,healthy,S87,FALSE
G22,7.220109009112414,healthy,S87,FALSE
G25,7.3398212272200185,healthy,S87,FALSE
G2,7.583388645906487,healthy,S87,FALSE
G32,7.568660178931665,healthy,S87,FALSE
G81,8.559273356970749,healthy,S87,FALSE
G15,8.150556794275055,healthy,S87,FALSE
G51,5.638136576624198,healthy,S87,FALSE
G44,7.8159635654623925,healthy,S87,FALSE
G20,9.448386276130465,healthy,S87,FALSE
G95,7.556235791357955,healthy,S87,FALSE
G111,8.53971525188065,healthy,S87,TRUE
G62,7.741441242850975,healthy,S87,FALSE
G70,6.035996308681742,healthy,S87,FALSE
G24,7.088563753157455,healthy,S87,FALSE
G96,9.801311179406984,healthy,S87,FALSE
G56,6.253081193861361,healthy,S87,FALSE
G115,7.027332405161085,healthy,S87,FALSE
G36,7.308411133921712,healthy,S87,FALSE
G47,10.07358342728536,healthy,S87,FALSE
G17,5.694081235548657,healthy,S87,FALSE
G19,6.87910356933233,healthy,S87,TRUE
G57,9.547811529340482,healthy,S87,FALSE
G60,8.496535296409846,healthy,S87,FALSE
G26,8.995043923095123,healthy,S87,FALSE
G27,7.072577489113568,healthy,S87,FALSE
G91,9.085655861068323,healthy,S87,FALSE
G3,8.716220728043563,healthy,S87,FALSE
G75,8.435132782013559,healthy,S87,FALSE
G45,6.699183899752186,healthy,S87,FALSE
G104,8.264352650478283,healthy,S87,FALSE
G10,10.512872218094852,healthy,S87,FALSE
G83,7.194063253828363,healthy,S87,FALSE
G74,7.615838396160581,healthy,S87,FALSE
G53,8.483480790699998,healthy,S87,FALSE
G100,7.799116457555242,healthy,S87,FALSE
G54,6.91195826784947,healthy,S87,FALSE
G99,7.963388746053257,healthy,S87,FALSE
G55,6.195436731633882,healthy,S87,FALSE
G59,8.371018685867176,healthy,S87,FALSE
G86,8.957866976334243,healthy,S87,FALSE
G1,6.273636330775607,healthy,S87,FALSE
G52,7.631282156985578,healthy,S87,FALSE
G12,7.77743021130064,healthy,S87,FALSE
G105,6.317608920377676,healthy,S87,FALSE
G73,6.896992626816166,healthy,S87,FALSE
G29,7.254770411864271,healthy,S87,FALSE
G76,7.538268505512216,healthy,S87,FALSE
G85,7.612827867521928,healthy,S87,FALSE
G21,6.980516883389891,healthy,S87,FALSE
G23,6.480435136315167,healthy,S87,TRUE
G13,8.844585151817004,healthy,S87,FALSE
G4,8.284294575947637,healthy,S87,FALSE
G90,8.559383976103248,healthy,S87,TRUE
G82,6.832434885964468,healthy,S87,FALSE
G30,14.67312223413277,cancer,S69,TRUE
G40,8.341302729462136,cancer,S69,FALSE
G71,9.691970592787392,cancer,S69,TRUE
G28,8.614358218608333,cancer,S69,FALSE
G108,8.086593624687477,cancer,S69,FALSE
G97,8.926903881155969,cancer,S69,FALSE
G5,6.532750272901076,cancer,S69,FALSE
G66,7.679658919786597,cancer,S69,FALSE
G88,7.6253601713216685,cancer,S69,FALSE
G6,9.340747107049156,cancer,S69,FALSE
G107,9.17727553793573,cancer,S69,FALSE
G61,7.2520098398263615,cancer,S69,FALSE
G80,8.222042865022724,cancer,S69,FALSE
G14,8.863671281743775,cancer,S69,FALSE
G63,6.147784024317591,cancer,S69,FALSE
G43,11.844769759477956,cancer,S69,TRUE
G41,9.712469154992013,cancer,S69,FALSE
G72,8.221338739681135,cancer,S69,FALSE
G39,8.446991070269508,cancer,S69,FALSE
G37,7.376455519334372,cancer,S69,FALSE
G93,7.056334278686772,cancer,S69,FALSE
G33,7.539520363228308,cancer,S69,FALSE
G18,9.692994251148923,cancer,S69,FALSE
G114,8.64339706775413,cancer,S69,FALSE
G103,8.392027529508661,cancer,S69,FALSE
G48,8.186828508073148,cancer,S69,FALSE
G110,11.685714860075247,cancer,S69,TRUE
G38,6.867161936145921,cancer,S69,FALSE
G68,13.427925182514162,cancer,S69,TRUE
G11,7.040656690532912,cancer,S69,FALSE
G84,9.311212208207476,cancer,S69,FALSE
G106,8.154410072878663,cancer,S69,FALSE
G78,8.81856660778397,cancer,S69,FALSE
G16,11.079641813648097,cancer,S69,TRUE
G102,7.377003113456701,cancer,S69,FALSE
G65,7.478238205970068,cancer,S69,FALSE
G46,7.853823886219892,cancer,S69,FALSE
G94,6.640012017688388,cancer,S69,FALSE
G69,10.987587880873958,cancer,S69,FALSE
G116,7.9380793734169535,cancer,S69,FALSE
G67,9.280519131264542,cancer,S69,FALSE
G87,7.761250393682721,cancer,S69,FALSE
G89,9.215377384178815,cancer,S69,FALSE
G42,7.754510113802928,cancer,S69,FALSE
G49,8.05855488343385,cancer,S69,FALSE
G34,8.168840342849185,cancer,S69,FALSE
G50,8.584487712793894,cancer,S69,FALSE
G8,7.038166887898094,cancer,S69,FALSE
G79,11.697377672068594,cancer,S69,TRUE
G112,8.748753422661693,cancer,S69,TRUE
G109,12.926784142714363,cancer,S69,TRUE
G92,8.05820491256255,cancer,S69,FALSE
G58,6.57220917266331,cancer,S69,FALSE
G7,10.014106234221478,cancer,S69,TRUE
G101,9.900460068139994,cancer,S69,FALSE
G77,8.736107228520467,cancer,S69,FALSE
G31,7.787013526597744,cancer,S69,FALSE
G9,6.943849483164919,cancer,S69,FALSE
G64,7.261278443791983,cancer,S69,FALSE
G35,8.533013549138591,cancer,S69,FALSE
G98,7.3776367454248435,cancer,S69,FALSE
G113,9.346520930326271,cancer,S69,FALSE
G22,8.477431186128316,cancer,S69,FALSE
G25,9.341926953970052,cancer,S69,FALSE
G2,6.446266087817904,cancer,S69,FALSE
G32,9.497616527923315,cancer,S69,FALSE
G81,8.009453136456216,cancer,S69,FALSE
G15,6.320366308529424,cancer,S69,FALSE
G51,8.022868081575806,cancer,S69,FALSE
G44,7.0061939397203465,cancer,S69,FALSE
G20,7.834543772631995,cancer,S69,FALSE
G95,6.517324578625665,cancer,S69,FALSE
G111,9.42305662512232,cancer,S69,TRUE
G62,7.0822020218573725,cancer,S69,FALSE
G70,8.112719240925816,cancer,S69,FALSE
G24,7.633464363919874,cancer,S69,FALSE
G96,8.747222341684406,cancer,S69,FALSE
G56,6.005990523150942,cancer,S69,FALSE
G115,7.7298610957935345,cancer,S69,FALSE
G36,8.015745434449862,cancer,S69,FALSE
G47,8.781789777909502,cancer,S69,FALSE
G17,7.36244266675375,cancer,S69,FALSE
G19,10.7657214712328,cancer,S69,TRUE
G57,7.607686157484767,cancer,S69,FALSE
G60,7.42645426798536,cancer,S69,FALSE
G26,6.516869863202045,cancer,S69,FALSE
G27,8.2960805714178,cancer,S69,FALSE
G91,8.906340618644204,cancer,S69,FALSE
G3,9.543029927715343,cancer,S69,FALSE
G75,7.400180051461049,cancer,S69,FALSE
G45,6.747027509000342,cancer,S69,FALSE
G104,7.6885024847725685,cancer,S69,FALSE
G10,8.518214794050808,cancer,S69,FALSE
G83,6.7135550859198805,cancer,S69,FALSE
G74,7.5590551034879425,cancer,S69,FALSE
G53,7.797512857808429,cancer,S69,FALSE
G100,9.037462098075265,cancer,S69,FALSE
G54,9.36940993504699,cancer,S69,FALSE
G99,8.929371082021332,cancer,S69,FALSE
G55,6.321170008111176,cancer,S69,FALSE
G59,8.134588420760123,cancer,S69,FALSE
G86,8.329227142101352,cancer,S69,FALSE
G1,8.319232496829272,cancer,S69,FALSE
G52,7.6286747304041755,cancer,S69,FALSE
G12,6.4782954489098366,cancer,S69,FALSE
G105,8.093232131743807,cancer,S69,FALSE
G73,8.567996256470135,cancer,S69,FALSE
G29,7.895341441718513,cancer,S69,FALSE
G76,9.09293232891877,cancer,S69,FALSE
G85,8.023854275335523,cancer,S69,FALSE
G21,7.740919214618119,cancer,S69,FALSE
G23,13.711312382411805,cancer,S69,TRUE
G13,8.769679998280077,cancer,S69,FALSE
G4,8.172829329030364,cancer,S69,FALSE
G90,10.121358821559765,cancer,S69,TRUE
G82,7.191318471492272,cancer,S69,FALSE
G30,9.229198442945295,cancer,S63,TRUE
G40,7.951897602191581,cancer,S63,FALSE
G71,10.13206683898715,cancer,S63,TRUE
G28,6.001194961874304,cancer,S63,FALSE
G108,7.975888758026814,cancer,S63,FALSE
G97,6.638658030225995,cancer,S63,FALSE
G5,6.717780128435049,cancer,S63,FALSE
G66,9.235540359906269,cancer,S63,FALSE
G88,7.768481084361142,cancer,S63,FALSE
G6,8.045092014786006,cancer,S63,FALSE
G107,9.74273853654844,cancer,S63,FALSE
G61,8.393117537758094,cancer,S63,FALSE
G80,9.04612683588809,cancer,S63,FALSE
G14,6.768464933265102,cancer,S63,FALSE
G63,7.366281876975127,cancer,S63,FALSE
G43,9.1734917113544725,cancer,S63,TRUE
G41,7.840724060366981,cancer,S63,FALSE
G72,8.692415437348814,cancer,S63,FALSE
G39,7.846419507175643,cancer,S63,FALSE
G37,8.715458255111336,cancer,S63,FALSE
G93,7.640889357547056,cancer,S63,FALSE
G33,8.261869169750183,cancer,S63,FALSE
G18,8.61390158461695,cancer,S63,FALSE
G114,9.845342922255671,cancer,S63,FALSE
G103,7.658284955464505,cancer,S63,FALSE
G48,7.633903904243043,cancer,S63,FALSE
G110,13.97225045872751,cancer,S63,TRUE
G38,8.157800629936766,cancer,S63,FALSE
G68,8.04028422217145,cancer,S63,TRUE
G11,7.754419214882224,cancer,S63,FALSE
G84,7.644768378062356,cancer,S63,FALSE
G106,9.767171832167053,cancer,S63,FALSE
G78,8.115781004937453,cancer,S63,FALSE
G16,8.71514393327978,cancer,S63,TRUE
G102,8.935415447030701,cancer,S63,FALSE
G65,7.890480140170901,cancer,S63,FALSE
G46,7.947933356652884,cancer,S63,FALSE
G94,7.711233505260215,cancer,S63,FALSE
G69,8.616359046573457,cancer,S63,FALSE
G116,7.840873652071335,cancer,S63,FALSE
G67,9.416571249982196,cancer,S63,FALSE
G87,9.169133723868878,cancer,S63,FALSE
G89,9.14833412536888,cancer,S63,FALSE
G42,6.610427178165429,cancer,S63,FALSE
G49,8.350208453572701,cancer,S63,FALSE
G34,8.57151184818719,cancer,S63,FALSE
G50,7.5171685476510435,cancer,S63,FALSE
G8,7.996639759547451,cancer,S63,FALSE
G79,9.04179752203328,cancer,S63,TRUE
G112,10.463751802387577,cancer,S63,TRUE
G109,9.967369191609869,cancer,S63,TRUE
G92,8.187423585180502,cancer,S63,FALSE
G58,7.201154950908687,cancer,S63,FALSE
G7,11.625665048017018,cancer,S63,TRUE
G101,9.273462464147372,cancer,S63,FALSE
G77,8.280273893908278,cancer,S63,FALSE
G31,9.453708850247645,cancer,S63,FALSE
G9,7.565754259615162,cancer,S63,FALSE
G64,7.88079671752413,cancer,S63,FALSE
G35,7.320963767493103,cancer,S63,FALSE
G98,7.9488245289269654,cancer,S63,FALSE
G113,9.144038544384596,cancer,S63,FALSE
G22,9.038540971958959,cancer,S63,FALSE
G25,7.558795866839706,cancer,S63,FALSE
G2,8.613825833072793,cancer,S63,FALSE
G32,8.937333297883955,cancer,S63,FALSE
G81,6.902437259274816,cancer,S63,FALSE
G15,5.784996507675994,cancer,S63,FALSE
G51,9.816148641049825,cancer,S63,FALSE
G44,7.12276217867984,cancer,S63,FALSE
G20,6.061714050838562,cancer,S63,FALSE
G95,10.148272811609854,cancer,S63,FALSE
G111,11.36483811004397,cancer,S63,TRUE
G62,6.448928010401216,cancer,S63,FALSE
G70,7.495580306967261,cancer,S63,FALSE
G24,6.399268801750788,cancer,S63,FALSE
G96,5.498958174893525,cancer,S63,FALSE
G56,6.3514128471761975,cancer,S63,FALSE
G115,7.9099718550096805,cancer,S63,FALSE
G36,8.372027916479736,cancer,S63,FALSE
G47,7.549454492533009,cancer,S63,FALSE
G17,6.85213364627324,cancer,S63,FALSE
G19,12.120151937113233,cancer,S63,TRUE
G57,6.515503583384058,cancer,S63,FALSE
G60,7.101851332097784,cancer,S63,FALSE
G26,8.01173954932309,cancer,S63,FALSE
G27,6.13941730320794,cancer,S63,FALSE
G91,9.167083583840492,cancer,S63,FALSE
G3,7.85095308256174,cancer,S63,FALSE
G75,9.93544894063317,cancer,S63,FALSE
G45,7.763417498831225,cancer,S63,FALSE
G104,8.55747418001562,cancer,S63,FALSE
G10,9.125590016254867,cancer,S63,FALSE
G83,8.787075633330625,cancer,S63,FALSE
G74,8.652170829909684,cancer,S63,FALSE
G53,7.182432930848926,cancer,S63,FALSE
G100,8.36975207999162,cancer,S63,FALSE
G54,8.505228262371736,cancer,S63,FALSE
G99,8.190221359946563,cancer,S63,FALSE
G55,8.672100709675423,cancer,S63,FALSE
G59,6.148609815326441,cancer,S63,FALSE
G86,7.719928258815873,cancer,S63,FALSE
G1,7.575881555017252,cancer,S63,FALSE
G52,9.985008343354838,cancer,S63,FALSE
G12,7.353174958520027,cancer,S63,FALSE
G105,6.850025488988797,cancer,S63,FALSE
G73,8.174418421957201,cancer,S63,FALSE
G29,7.099045856327974,cancer,S63,FALSE
G76,9.714564235247506,cancer,S63,FALSE
G85,7.192459451789566,cancer,S63,FALSE
G21,6.6268650461324645,cancer,S63,FALSE
G23,11.775707264799472,cancer,S63,TRUE
G13,8.994922199003554,cancer,S63,FALSE
G4,7.160142935219118,cancer,S63,FALSE
G90,7.515915735905198,cancer,S63,TRUE
G82,6.800072109648729,cancer,S63,FALSE
G30,11.633880592658107,unknown,S24,TRUE
G40,8.419959704312294,unknown,S24,FALSE
G71,9.402245904213837,unknown,S24,TRUE
G28,8.171668364463974,unknown,S24,FALSE
G108,9.388340789149261,unknown,S24,FALSE
G97,7.7077262230022985,unknown,S24,FALSE
G5,5.867628318426744,unknown,S24,FALSE
G66,7.965232287270775,unknown,S24,FALSE
G88,8.766800795722872,unknown,S24,FALSE
G6,6.140332567522147,unknown,S24,FALSE
G107,7.060694852443774,unknown,S24,FALSE
G61,8.322578572952812,unknown,S24,FALSE
G80,8.104119235634993,unknown,S24,FALSE
G14,8.542079108900914,unknown,S24,FALSE
G63,7.246411340456831,unknown,S24,FALSE
G43,12.214242713960733,unknown,S24,TRUE
G41,8.266430658133899,unknown,S24,FALSE
G72,8.118763127201591,unknown,S24,FALSE
G39,8.485448775482663,unknown,S24,FALSE
G37,7.829833459241838,unknown,S24,FALSE
G93,7.2689104508453655,unknown,S24,FALSE
G33,7.401603379583053,unknown,S24,FALSE
G18,8.585241454022604,unknown,S24,FALSE
G114,7.994896721253291,unknown,S24,FALSE
G103,7.746160616452114,unknown,S24,FALSE
G48,8.67032889607594,unknown,S24,FALSE
G110,6.910366697546751,unknown,S24,TRUE
G38,7.466758913910304,unknown,S24,FALSE
G68,7.66996797842782,unknown,S24,TRUE
G11,7.026859619530023,unknown,S24,FALSE
G84,9.413105830028934,unknown,S24,FALSE
G106,6.428023466181281,unknown,S24,FALSE
G78,6.943092394690562,unknown,S24,FALSE
G16,9.771663157517805,unknown,S24,TRUE
G102,6.130491908750702,unknown,S24,FALSE
G65,7.253464127837958,unknown,S24,FALSE
G46,6.868903752687146,unknown,S24,FALSE
G94,7.461024893035094,unknown,S24,FALSE
G69,6.698737111231317,unknown,S24,FALSE
G116,9.08973197663407,unknown,S24,FALSE
G67,6.424862801734024,unknown,S24,FALSE
G87,8.253658701018566,unknown,S24,FALSE
G89,8.66915369703369,unknown,S24,FALSE
G42,8.296211385751512,unknown,S24,FALSE
G49,9.329549686385665,unknown,S24,FALSE
G34,7.71478485660851,unknown,S24,FALSE
G50,7.057444994523706,unknown,S24,FALSE
G8,9.124224666369948,unknown,S24,FALSE
G79,11.714036448868976,unknown,S24,TRUE
G112,11.64117886732865,unknown,S24,TRUE
G109,10.051123034541575,unknown,S24,TRUE
G92,9.346840349405092,unknown,S24,FALSE
G58,7.209216795221334,unknown,S24,FALSE
G7,8.640110201281285,unknown,S24,TRUE
G101,8.871041521133877,unknown,S24,FALSE
G77,7.791088496373929,unknown,S24,FALSE
G31,7.773506054004108,unknown,S24,FALSE
G9,5.9931721822840025,unknown,S24,FALSE
G64,7.844808357826194,unknown,S24,FALSE
G35,8.124954670661499,unknown,S24,FALSE
G98,7.426847481231992,unknown,S24,FALSE
G113,8.329434925919655,unknown,S24,FALSE
G22,9.623917929029048,unknown,S24,FALSE
G25,6.632276799093582,unknown,S24,FALSE
G2,6.933863304052186,unknown,S24,FALSE
G32,8.12125376509191,unknown,S24,FALSE
G81,7.41749935611697,unknown,S24,FALSE
G15,6.627610674794589,unknown,S24,FALSE
